sample_id,ref_kw,base_hits,trained_hits,cov_base,cov_trained,delta
sample_000314,17,2,2,0.11764705882352941,0.11764705882352941,0.0
sample_000315,47,10,23,0.2127659574468085,0.48936170212765956,0.276595744680851
sample_000316,35,12,17,0.34285714285714286,0.4857142857142857,0.14285714285714285
sample_000317,51,25,24,0.49019607843137253,0.47058823529411764,-0.019607843137254888
sample_000318,44,18,22,0.4090909090909091,0.5,0.09090909090909088
sample_000319,54,32,31,0.5925925925925926,0.5740740740740741,-0.01851851851851849
sample_000320,28,7,8,0.25,0.2857142857142857,0.0357142857142857
sample_000321,29,9,7,0.3103448275862069,0.2413793103448276,-0.06896551724137931
sample_000322,27,4,9,0.14814814814814814,0.3333333333333333,0.18518518518518517
sample_000323,17,2,2,0.11764705882352941,0.11764705882352941,0.0
sample_000324,41,4,22,0.0975609756097561,0.5365853658536586,0.4390243902439025
sample_000325,13,2,3,0.15384615384615385,0.23076923076923078,0.07692307692307693
sample_000326,39,9,16,0.23076923076923078,0.41025641025641024,0.17948717948717946
sample_000327,33,8,8,0.24242424242424243,0.24242424242424243,0.0
sample_000328,23,3,9,0.13043478260869565,0.391304347826087,0.26086956521739135
sample_000329,38,13,20,0.34210526315789475,0.5263157894736842,0.18421052631578944
sample_000330,68,2,41,0.029411764705882353,0.6029411764705882,0.5735294117647058
sample_000331,11,0,0,0.0,0.0,0.0
sample_000332,11,1,2,0.09090909090909091,0.18181818181818182,0.09090909090909091
sample_000333,34,13,18,0.38235294117647056,0.5294117647058824,0.1470588235294118
sample_000334,55,29,19,0.5272727272727272,0.34545454545454546,-0.18181818181818177
sample_000335,33,10,14,0.30303030303030304,0.42424242424242425,0.12121212121212122
sample_000336,15,1,1,0.06666666666666667,0.06666666666666667,0.0
sample_000337,27,8,9,0.2962962962962963,0.3333333333333333,0.037037037037037035
sample_000338,22,8,6,0.36363636363636365,0.2727272727272727,-0.09090909090909094
sample_000339,13,3,4,0.23076923076923078,0.3076923076923077,0.07692307692307693
sample_000340,29,6,12,0.20689655172413793,0.41379310344827586,0.20689655172413793
sample_000341,41,13,17,0.3170731707317073,0.4146341463414634,0.09756097560975607
sample_000342,50,20,11,0.4,0.22,-0.18000000000000002
sample_000343,61,24,25,0.39344262295081966,0.4098360655737705,0.016393442622950838
sample_000344,37,10,18,0.2702702702702703,0.4864864864864865,0.21621621621621623
sample_000345,11,0,1,0.0,0.09090909090909091,0.09090909090909091
sample_000346,18,5,1,0.2777777777777778,0.05555555555555555,-0.22222222222222224
sample_000347,31,13,10,0.41935483870967744,0.3225806451612903,-0.09677419354838712
sample_000348,42,22,26,0.5238095238095238,0.6190476190476191,0.09523809523809523
sample_000349,41,18,14,0.43902439024390244,0.34146341463414637,-0.09756097560975607
sample_000350,25,9,8,0.36,0.32,-0.03999999999999998
sample_000351,17,6,3,0.35294117647058826,0.17647058823529413,-0.17647058823529413
sample_000352,26,2,2,0.07692307692307693,0.07692307692307693,0.0
sample_000353,41,20,17,0.4878048780487805,0.4146341463414634,-0.07317073170731708
sample_000354,36,17,15,0.4722222222222222,0.4166666666666667,-0.055555555555555525
sample_000355,26,12,10,0.46153846153846156,0.38461538461538464,-0.07692307692307693
sample_000356,15,1,1,0.06666666666666667,0.06666666666666667,0.0
sample_000357,48,21,25,0.4375,0.5208333333333334,0.08333333333333337
sample_000358,25,5,10,0.2,0.4,0.2
sample_000359,39,2,20,0.05128205128205128,0.5128205128205128,0.4615384615384615
sample_000360,23,4,10,0.17391304347826086,0.43478260869565216,0.2608695652173913
sample_000361,44,23,21,0.5227272727272727,0.4772727272727273,-0.045454545454545414
sample_000362,45,19,26,0.4222222222222222,0.5777777777777777,0.1555555555555555
sample_000363,17,1,1,0.058823529411764705,0.058823529411764705,0.0
sample_000364,60,30,25,0.5,0.4166666666666667,-0.08333333333333331
sample_000365,56,1,32,0.017857142857142856,0.5714285714285714,0.5535714285714285
sample_000366,29,10,6,0.3448275862068966,0.20689655172413793,-0.13793103448275865
sample_000367,43,20,24,0.46511627906976744,0.5581395348837209,0.09302325581395349
sample_000368,19,5,4,0.2631578947368421,0.21052631578947367,-0.05263157894736842
sample_000369,26,5,7,0.19230769230769232,0.2692307692307692,0.0769230769230769
sample_000370,23,8,5,0.34782608695652173,0.21739130434782608,-0.13043478260869565
sample_000371,13,1,1,0.07692307692307693,0.07692307692307693,0.0
sample_000372,45,24,25,0.5333333333333333,0.5555555555555556,0.022222222222222254
sample_000373,21,8,9,0.38095238095238093,0.42857142857142855,0.047619047619047616
sample_000374,40,15,17,0.375,0.425,0.04999999999999999
sample_000375,52,26,27,0.5,0.5192307692307693,0.019230769230769273
sample_000376,11,3,3,0.2727272727272727,0.2727272727272727,0.0
sample_000377,24,10,8,0.4166666666666667,0.3333333333333333,-0.08333333333333337
sample_000378,11,1,2,0.09090909090909091,0.18181818181818182,0.09090909090909091
sample_000379,49,35,29,0.7142857142857143,0.5918367346938775,-0.12244897959183676
sample_000380,15,1,1,0.06666666666666667,0.06666666666666667,0.0
sample_000381,46,29,33,0.6304347826086957,0.717391304347826,0.08695652173913038
sample_000382,32,4,13,0.125,0.40625,0.28125
sample_000383,22,5,8,0.22727272727272727,0.36363636363636365,0.13636363636363638
